Onset	Duration	Amplitude	trial_type
81.2	0	1	1
88.64471099996008	0	1	rest
118.68241841665004	0	1	right
123.70451783335302	0	1	rest
139.13562024994752	0	1	left
144.14716941670048	0	1	rest
158.92650054167024	0	1	right
164.03514116669538	0	1	rest
178.34512854174244	0	1	left
183.35230970829724	0	1	rest
199.12029424989595	0	1	right
204.22517333335708	0	1	rest
218.97723858330863	0	1	left
224.08689795834943	0	1	rest
238.3125076249009	0	1	right
243.42202037496025	0	1	rest
257.96626258331816	0	1	left
263.07262162496335	0	1	rest
277.4074911666568	0	1	right
282.5136577499099	0	1	rest
297.5627542082686	0	1	left
302.57480445834807	0	1	rest
318.291313333367	0	1	right
323.303213333292	0	1	rest
338.72742712490725	0	1	left
343.84285866671706	0	1	rest
359.0739803333301	0	1	right
364.0904527083505	0	1	rest
378.9239080832805	0	1	left
384.0308017917443	0	1	rest
398.1645630416926	0	1	right
403.18177795833907	0	1	rest
418.5394672917202	0	1	left
423.5562947916798	0	1	rest
438.7917126249988	0	1	right
443.9009051666828	0	1	rest
459.2176923749968	0	1	left
464.3284852917306	0	1	rest
479.589395999955	0	1	right
484.6062251667492	0	1	rest
499.1050016667461	0	1	left
504.2155067499727	0	1	rest
518.5252542499686	0	1	end
